pdbid,url,http_code,filepath,filesize,error
12as,https://pdb-redo.eu/dssp/db/12as/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/12as.dssp,729376,
1a1x,https://pdb-redo.eu/dssp/db/1a1x/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1a1x.dssp,161096,
1a2x,https://pdb-redo.eu/dssp/db/1a2x/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1a2x.dssp,268031,
1a4i,https://pdb-redo.eu/dssp/db/1a4i/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1a4i.dssp,675159,
1a8r,https://pdb-redo.eu/dssp/db/1a8r/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1a8r.dssp,3576167,
1ad6,https://pdb-redo.eu/dssp/db/1ad6/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1ad6.dssp,239083,
1af6,https://pdb-redo.eu/dssp/db/1af6/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1af6.dssp,1405731,
1ah7,https://pdb-redo.eu/dssp/db/1ah7/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1ah7.dssp,348226,
1aho,https://pdb-redo.eu/dssp/db/1aho/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1aho.dssp,172903,
1ahs,https://pdb-redo.eu/dssp/db/1ahs/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1ahs.dssp,420248,
1am7,https://pdb-redo.eu/dssp/db/1am7/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1am7.dssp,534817,
1aol,https://pdb-redo.eu/dssp/db/1aol/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1aol.dssp,325323,
1ash,https://pdb-redo.eu/dssp/db/1ash/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1ash.dssp,231266,
1atg,https://pdb-redo.eu/dssp/db/1atg/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1atg.dssp,322127,
1ayo,https://pdb-redo.eu/dssp/db/1ayo/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1ayo.dssp,371789,
1b0b,https://pdb-redo.eu/dssp/db/1b0b/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1b0b.dssp,228857,
1b77,https://pdb-redo.eu/dssp/db/1b77/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1b77.dssp,803149,
1b8d,https://pdb-redo.eu/dssp/db/1b8d/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1b8d.dssp,975667,
1b9w,https://pdb-redo.eu/dssp/db/1b9w/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1b9w.dssp,152274,
1bg2,https://pdb-redo.eu/dssp/db/1bg2/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1bg2.dssp,408988,
1bgf,https://pdb-redo.eu/dssp/db/1bgf/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1bgf.dssp,192347,
1bin,https://pdb-redo.eu/dssp/db/1bin/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1bin.dssp,353337,
1btk,https://pdb-redo.eu/dssp/db/1btk/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1btk.dssp,440735,
1bxy,https://pdb-redo.eu/dssp/db/1bxy/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1bxy.dssp,176952,
1byi,https://pdb-redo.eu/dssp/db/1byi/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1byi.dssp,529846,
1c0p,https://pdb-redo.eu/dssp/db/1c0p/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1c0p.dssp,811930,
