pdbid,url,http_code,filepath,filesize,error
12as,https://pdb-redo.eu/dssp/db/12as/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/12as.dssp,93355,
1a1x,https://pdb-redo.eu/dssp/db/1a1x/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1a1x.dssp,18142,
1a2x,https://pdb-redo.eu/dssp/db/1a2x/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1a2x.dssp,29650,
1a4i,https://pdb-redo.eu/dssp/db/1a4i/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1a4i.dssp,83354,
1a8r,https://pdb-redo.eu/dssp/db/1a8r/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1a8r.dssp,459693,
1ad6,https://pdb-redo.eu/dssp/db/1ad6/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1ad6.dssp,28965,
1af6,https://pdb-redo.eu/dssp/db/1af6/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1af6.dssp,176925,
1ah7,https://pdb-redo.eu/dssp/db/1ah7/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1ah7.dssp,37185,
1aho,https://pdb-redo.eu/dssp/db/1aho/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1aho.dssp,12388,
1ahs,https://pdb-redo.eu/dssp/db/1ahs/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1ahs.dssp,55680,
1am7,https://pdb-redo.eu/dssp/db/1am7/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1am7.dssp,67188,
1aol,https://pdb-redo.eu/dssp/db/1aol/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1aol.dssp,34719,
1ash,https://pdb-redo.eu/dssp/db/1ash/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1ash.dssp,23759,
1atg,https://pdb-redo.eu/dssp/db/1atg/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1atg.dssp,35267,
1ayo,https://pdb-redo.eu/dssp/db/1ayo/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1ayo.dssp,39377,
1b0b,https://pdb-redo.eu/dssp/db/1b0b/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1b0b.dssp,23074,
1b77,https://pdb-redo.eu/dssp/db/1b77/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1b77.dssp,97602,
1b8d,https://pdb-redo.eu/dssp/db/1b8d/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1b8d.dssp,98150,
1b9w,https://pdb-redo.eu/dssp/db/1b9w/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1b9w.dssp,16087,
1bg2,https://pdb-redo.eu/dssp/db/1bg2/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1bg2.dssp,47871,
